name,slug,value,date_of_information,ranking,region
"China","china","$2,732,370,000,000","2020 est.","1","East and Southeast Asia"
"United States","united-states","$2,127,250,000,000","2020 est.","2","North America"
"Germany","germany","$1,671,650,000,000","2020 est.","3","Europe"
"Japan","japan","$793,320,000,000","2020 est.","4","East and Southeast Asia"
"France","france","$746,910,000,000","2020 est.","5","Europe"
"United Kingdom","united-kingdom","$741,950,000,000","2020 est.","6","Europe"
"Netherlands","netherlands","$719,780,000,000","2020 est.","7","Europe"
"Hong Kong","hong-kong","$615,880,000,000","2020 est.","8","East and Southeast Asia"
"Korea, South","korea-south","$606,710,000,000","2020 est.","9","East and Southeast Asia"
"Singapore","singapore","$599,200,000,000","2020 est.","10","East and Southeast Asia"
"Italy","italy","$558,260,000,000","2020 est.","11","Europe"
"Ireland","ireland","$502,310,000,000","2019 est.","12","Europe"
"India","india","$484,950,000,000","2020 est.","13","South Asia"
"Canada","canada","$477,310,000,000","2020 est.","14","North America"
"Switzerland","switzerland","$470,910,000,000","2020 est.","15","Europe"
"Mexico","mexico","$434,930,000,000","2020 est.","16","North America"
"Belgium","belgium","$414,790,000,000","2020 est.","17","Europe"
"Spain","spain","$392,850,000,000","2020 est.","18","Europe"
"Taiwan","taiwan","$388,490,000,000","2019 est.","19","East and Southeast Asia"
"Russia","russia","$379,120,000,000","2020 est.","20","Central Asia"
"Poland","poland","$333,540,000,000","2020 est.","21","Europe"
"United Arab Emirates","united-arab-emirates","$308,500,000,000","2017 est.","22","Middle East"
"Australia","australia","$299,040,000,000","2020 est.","23","Australia and Oceania"
"Vietnam","vietnam","$280,830,000,000","2019 est.","24","East and Southeast Asia"
"Thailand","thailand","$258,420,000,000","2020 est.","25","East and Southeast Asia"
"Sweden","sweden","$240,080,000,000","2020 est.","26","Europe"
"Brazil","brazil","$239,180,000,000","2020 est.","27","South America"
"Austria","austria","$226,790,000,000","2020 est.","28","Europe"
"Malaysia","malaysia","$207,370,000,000","2020 est.","29","East and Southeast Asia"
"Denmark","denmark","$191,530,000,000","2020 est.","31","Europe"
"Saudi Arabia","saudi-arabia","$184,110,000,000","2020 est.","32","Middle East"
"Indonesia","indonesia","$178,260,000,000","2020 est.","33","East and Southeast Asia"
"Czechia","czechia","$174,920,000,000","2020 est.","34","Europe"
"Luxembourg","luxembourg","$137,090,000,000","2020 est.","35","Europe"
"Hungary","hungary","$123,830,000,000","2020 est.","36","Europe"
"Norway","norway","$117,060,000,000","2020 est.","37","Europe"
"Israel","israel","$113,870,000,000","2020 est.","38","Middle East"
"Finland","finland","$108,220,000,000","2019 est.","39","Europe"
"Iran","iran","$101,400,000,000","2017 est.","40","Middle East"
"Romania","romania","$93,010,000,000","2020 est.","41","Europe"
"South Africa","south-africa","$93,010,000,000","2020 est.","42","Africa"
"Slovakia","slovakia","$89,920,000,000","2020 est.","43","Europe"
"Portugal","portugal","$85,280,000,000","2020 est.","44","Europe"
"Venezuela","venezuela","$83,401,000,000","2018 est.","45","South America"
"Chile","chile","$79,800,000,000","2020 est.","46","South America"
"Philippines","philippines","$78,820,000,000","2020 est.","47","East and Southeast Asia"
"Puerto Rico","puerto-rico","$73,170,000,000","2017 est.","48","Central America and the Caribbean"
"Kuwait","kuwait","$72,830,000,000","2019 est.","49","Middle East"
"Qatar","qatar","$70,930,000,000","2020 est.","50","Middle East"
"Argentina","argentina","$64,180,000,000","2020 est.","51","South America"
"Ukraine","ukraine","$60,670,000,000","2020 est.","52","Europe"
"Greece","greece","$59,020,000,000","2020 est.","53","Europe"
"Peru","peru","$54,880,000,000","2019 est.","54","South America"
"Kazakhstan","kazakhstan","$51,750,000,000","2020 est.","55","Central Asia"
"Iraq","iraq","$50,610,000,000","2020 est.","56","Middle East"
"New Zealand","new-zealand","$50,430,000,000","2020 est.","57","Australia and Oceania"
"Macau","macau","$45,350,000,000","2019 est.","58","East and Southeast Asia"
"Oman","oman","$43,690,000,000","2019 est.","59","Middle East"
"Slovenia","slovenia","$41,730,000,000","2020 est.","60","Europe"
"Lithuania","lithuania","$41,480,000,000","2020 est.","61","Europe"
"Egypt","egypt","$40,100,000,000","2020 est.","62","Africa"
"Nigeria","nigeria","$39,940,000,000","2020 est.","63","Africa"
"Bulgaria","bulgaria","$39,270,000,000","2020 est.","64","Europe"
"Colombia","colombia","$39,140,000,000","2020 est.","65","South America"
"Bangladesh","bangladesh","$38,780,000,000","2020 est.","66","South Asia"
"Algeria","algeria","$38,320,000,000","2019 est.","67","Africa"
"Morocco","morocco","$37,520,000,000","2020 est.","68","Africa"
"Belarus","belarus","$37,040,000,000","2020 est.","69","Europe"
"Bahrain","bahrain","$30,100,000,000","2018 est.","70","Middle East"
"Libya","libya","$29,960,000,000","2018 est.","71","Africa"
"Pakistan","pakistan","$27,300,000,000","2020 est.","72","South Asia"
"Ghana","ghana","$25,590,000,000","2019 est.","73","Africa"
"Serbia","serbia","$25,420,000,000","2020 est.","74","Europe"
"Croatia","croatia","$23,660,000,000","2020 est.","75","Europe"
"Palau","palau","$23,170,000,000","2017 est.","76","Australia and Oceania"
"Ecuador","ecuador","$22,230,000,000","2020 est.","77","South America"
"Estonia","estonia","$21,690,000,000","2020 est.","78","Europe"
"Costa Rica","costa-rica","$21,200,000,000","2019 est.","79","Central America and the Caribbean"
"Angola","angola","$21,000,000,000","2020 est.","80","Africa"
"Latvia","latvia","$20,230,000,000","2020 est.","81","Europe"
"Panama","panama","$20,180,000,000","2020 est.","82","Central America and the Caribbean"
"Sri Lanka","sri-lanka","$19,410,000,000","2019 est.","83","South Asia"
"Cambodia","cambodia","$19,400,000,000","2020 est.","84","East and Southeast Asia"
"Tunisia","tunisia","$19,170,000,000","2019 est.","85","Africa"
"Malta","malta","$19,040,000,000","2020 est.","86","Europe"
"Lebanon","lebanon","$18,170,000,000","2019 est.","87","Middle East"
"Burma","burma","$17,520,000,000","2019 est.","88","East and Southeast Asia"
"Jordan","jordan","$16,290,000,000","2019 est.","89","Middle East"
"Cyprus","cyprus","$16,100,000,000","2020 est.","90","Europe"
"Azerbaijan","azerbaijan","$15,210,000,000","2020 est.","91","Middle East"
"Uzbekistan","uzbekistan","$14,520,000,000","2020 est.","92","Central Asia"
"Dominican Republic","dominican-republic","$14,440,000,000","2020 est.","93","Central America and the Caribbean"
"Congo, Democratic Republic of the","congo-democratic-republic-of-the","$13,930,000,000","2020 est.","94","Africa"
"Cote d'Ivoire","cote-divoire","$13,790,000,000","2019 est.","95","Africa"
"Uruguay","uruguay","$13,550,000,000","2020 est.","96","South America"
"Guatemala","guatemala","$13,120,000,000","2020 est.","97","Central America and the Caribbean"
"Paraguay","paraguay","$11,810,000,000","2020 est.","98","South America"
"Kenya","kenya","$11,490,000,000","2019 est.","99","Africa"
"Gabon","gabon","$10,800,000,000","2019 est.","100","Africa"
"Papua New Guinea","papua-new-guinea","$10,600,000,000","2018 est.","101","East and Southeast Asia"
"Tanzania","tanzania","$9,660,000,000","2019 est.","102","Africa"
"Trinidad and Tobago","trinidad-and-tobago","$9,570,000,000","2019 est.","103","Central America and the Caribbean"
"Equatorial Guinea","equatorial-guinea","$8,776,000,000","2019 est.","104","Africa"
"Zambia","zambia","$8,550,000,000","2020 est.","105","Africa"
"Brunei","brunei","$7,830,000,000","2019 est.","106","East and Southeast Asia"
"Cameroon","cameroon","$7,730,000,000","2019 est.","107","Africa"
"Mongolia","mongolia","$7,650,000,000","2020 est.","108","East and Southeast Asia"
"Ethiopia","ethiopia","$7,620,000,000","2018 est.","109","Africa"
"Bolivia","bolivia","$7,550,000,000","2020 est.","110","South America"
"Turkmenistan","turkmenistan","$7,458,000,000","2017 est.","111","Central Asia"
"Iceland","iceland","$7,430,000,000","2020 est.","112","Europe"
"North Macedonia","north-macedonia","$7,180,000,000","2020 est.","113","Europe"
"Honduras","honduras","$7,160,000,000","2019 est.","114","Central America and the Caribbean"
"Laos","laos","$6,990,000,000","2019 est.","115","East and Southeast Asia"
"Bosnia and Herzegovina","bosnia-and-herzegovina","$6,810,000,000","2020 est.","116","Europe"
"El Salvador","el-salvador","$6,290,000,000","2020 est.","117","Central America and the Caribbean"
"Botswana","botswana","$6,160,000,000","2019 est.","118","Africa"
"Uganda","uganda","$6,120,000,000","2019 est.","119","Africa"
"Georgia","georgia","$5,940,000,000","2020 est.","120","Middle East"
"Jamaica","jamaica","$5,920,000,000","2019 est.","121","Central America and the Caribbean"
"Nicaragua","nicaragua","$5,340,000,000","2020 est.","122","Central America and the Caribbean"
"Senegal","senegal","$5,290,000,000","2018 est.","123","Africa"
"Mauritius","mauritius","$5,170,000,000","2019 est.","124","Africa"
"Djibouti","djibouti","$5,150,000,000","2019 est.","125","Africa"
"Sudan","sudan","$5,110,000,000","2019 est.","126","Africa"
"Burkina Faso","burkina-faso","$4,470,000,000","2019 est.","127","Africa"
"Zimbabwe","zimbabwe","$4,422,000,000","2018 est.","128","Africa"
"Mozambique","mozambique","$4,350,000,000","2020 est.","129","Africa"
"Congo, Republic of the","congo-republic-of-the","$4,193,000,000","2017 est.","130","Africa"
"Mali","mali","$4,180,000,000","2018 est.","131","Africa"
"Cayman Islands","cayman-islands","$4,130,000,000","2019 est.","132","Central America and the Caribbean"
"Madagascar","madagascar","$4,090,000,000","2019 est.","133","Africa"
"Guinea","guinea","$4,040,000,000","2019 est.","134","Africa"
"San Marino","san-marino","$3,827,000,000","2011 est.","135","Europe"
"Armenia","armenia","$3,820,000,000","2020 est.","136","Middle East"
"Maldives","maldives","$3,720,000,000","2019 est.","137","South Asia"
"Benin","benin","$3,580,000,000","2019 est.","138","Africa"
"Namibia","namibia","$3,560,000,000","2020 est.","139","Africa"
"Albania","albania","$3,470,000,000","2020 est.","140","Europe"
"Moldova","moldova","$3,240,000,000","2020 est.","141","Europe"
"Liechtenstein","liechtenstein","$3,217,000,000","2015 est.","142","Europe"
"Kyrgyzstan","kyrgyzstan","$3,110,000,000","2019 est.","143","Central Asia"
"South Sudan","south-sudan","$3,010,000,000","2019 est.","144","Africa"
"West Bank","west-bank","$2,650,000,000","2019 est.","145","Middle East"
"Cuba","cuba","$2,630,000,000","2017 est.","146","Central America and the Caribbean"
"Mauritania","mauritania","$2,520,000,000","2019 est.","147","Africa"
"Chad","chad","$2,464,000,000","2017 est.","148","Africa"
"Suriname","suriname","$2,290,000,000","2019 est.","149","South America"
"Rwanda","rwanda","$2,250,000,000","2019 est.","150","Africa"
"New Caledonia","new-caledonia","$2,207,000,000","2014 est.","151","Australia and Oceania"
"Gaza Strip","gaza-strip","$1,955,000,000","2017 est.","152","Middle East"
"Syria","syria","$1,850,000,000","2017 est.","153","Middle East"
"Eswatini","eswatini","$1,810,000,000","2020 est.","154","Africa"
"Virgin Islands","virgin-islands","$1,810,000,000","2016 est.","155","Central America and the Caribbean"
"Guyana","guyana","$1,800,000,000","2019 est.","156","South America"
"Nepal","nepal","$1,790,000,000","2020 est.","157","South Asia"
"Curacao","curacao","$1,770,000,000","2019 est.","158","Central America and the Caribbean"
"Haiti","haiti","$1,730,000,000","2019 est.","159","Central America and the Caribbean"
"Bahamas, The","bahamas-the","$1,690,000,000","2020 est.","160","Central America and the Caribbean"
"Kosovo","kosovo","$1,690,000,000","2020 est.","161","Europe"
"Togo","togo","$1,670,000,000","2019 est.","162","Africa"
"Bermuda","bermuda","$1,590,000,000","2019 est.","163","North America"
"Afghanistan","afghanistan","$1,480,000,000","2020 est.","164","South Asia"
"Aruba","aruba","$1,450,000,000","2020 est.","165","Central America and the Caribbean"
"Tajikistan","tajikistan","$1,410,000,000","2020 est.","166","Central Asia"
"Niger","niger","$1,390,000,000","2019 est.","167","Africa"
"French Polynesia","french-polynesia","$1,245,000,000","2014 est.","168","Australia and Oceania"
"Montenegro","montenegro","$1,240,000,000","2020 est.","169","Europe"
"Fiji","fiji","$1,230,000,000","2020 est.","170","Australia and Oceania"
"Saint Lucia","saint-lucia","$1,220,000,000","2018 est.","171","Central America and the Caribbean"
"Faroe Islands","faroe-islands","$1,184,000,000","2016 est.","172","Europe"
"Malawi","malawi","$1,160,000,000","2019 est.","173","Africa"
"Antigua and Barbuda","antigua-and-barbuda","$1,150,000,000","2018 est.","174","Central America and the Caribbean"
"Guam","guam","$1,124,000,000","2016 est.","175","Australia and Oceania"
"Seychelles","seychelles","$1,090,000,000","2020 est.","176","Africa"
"Sint Maarten","sint-maarten","$1,090,000,000","2019 est.","177","Central America and the Caribbean"
"Monaco","monaco","$964,600,000","2017 est.","178","Europe"
"Northern Mariana Islands","northern-mariana-islands","$914,000,000","2016 est.","179","Australia and Oceania"
"Lesotho","lesotho","$900,000,000","2020 est.","180","Africa"
"Turks and Caicos Islands","turks-and-caicos-islands","$830,000,000","2018 est.","181","Central America and the Caribbean"
"Somalia","somalia","$819,000,000","2014 est.","182","Africa"
"Bhutan","bhutan","$790,000,000","2020 est.","183","South Asia"
"Sierra Leone","sierra-leone","$740,000,000","2019 est.","184","Africa"
"Belize","belize","$710,000,000","2020 est.","185","Central America and the Caribbean"
"Grenada","grenada","$650,000,000","2018 est.","186","Central America and the Caribbean"
"Eritrea","eritrea","$624,300,000","2017 est.","187","Africa"
"Saint Kitts and Nevis","saint-kitts-and-nevis","$610,000,000","2018 est.","188","Central America and the Caribbean"
"Liberia","liberia","$550,000,000","2019 est.","189","Africa"
"Barbados","barbados","$485,400,000","2017 est.","190","Central America and the Caribbean"
"Solomon Islands","solomon-islands","$430,000,000","2020 est.","191","Australia and Oceania"
"American Samoa","american-samoa","$428,000,000","2016 est.","192","Australia and Oceania"
"Cabo Verde","cabo-verde","$420,000,000","2020 est.","193","Africa"
"Greenland","greenland","$407,100,000","2015 est.","194","North America"
"Yemen","yemen","$384,500,000","2017 est.","195","Middle East"
"Vanuatu","vanuatu","$380,000,000","2019 est.","196","Australia and Oceania"
"Gambia, The","gambia-the","$350,000,000","2018 est.","197","Africa"
"Saint Vincent and the Grenadines","saint-vincent-and-the-grenadines","$320,000,000","2018 est.","198","Central America and the Caribbean"
"Samoa","samoa","$310,000,000","2018 est.","199","Australia and Oceania"
"Burundi","burundi","$290,000,000","2018 est.","200","Africa"
"Guinea-Bissau","guinea-bissau","$290,000,000","2019 est.","201","Africa"
"Falkland Islands (Islas Malvinas)","falkland-islands-islas-malvinas","$257,300,000","2015 est.","202","South America"
"Korea, North","korea-north","$222,000,000","2018","203","East and Southeast Asia"
"Gibraltar","gibraltar","$202,300,000","2014 est.","204","Europe"
"Dominica","dominica","$160,000,000","2018 est.","205","Central America and the Caribbean"
"Comoros","comoros","$140,000,000","2019 est.","206","Africa"
"Marshall Islands","marshall-islands","$130,000,000","2018 est.","207","Australia and Oceania"
"Central African Republic","central-african-republic","$113,700,000","2017 est.","208","Africa"
"Tonga","tonga","$90,000,000","2020 est.","209","Australia and Oceania"
"Micronesia, Federated States of","micronesia-federated-states-of","$88,300,000","2013 est.","210","Australia and Oceania"
"Andorra","andorra","$78,710,000","2015 est.","211","Europe"
"Timor-Leste","timor-leste","$60,000,000","2020 est.","212","East and Southeast Asia"
"Sao Tome and Principe","sao-tome-and-principe","$50,000,000","2020 est.","213","Africa"
"Kiribati","kiribati","$30,000,000","2019 est.","214","Australia and Oceania"
"Nauru","nauru","$30,000,000","2018 est.","215","Australia and Oceania"
"British Virgin Islands","british-virgin-islands","$23,000,000","2017 est.","216","Central America and the Caribbean"
"Saint Helena, Ascension, and Tristan da Cunha","saint-helena-ascension-and-tristan-da-cunha","$19,000,000","2004 est.","217","Africa"
"Tuvalu","tuvalu","$10,000,000","2019 est.","218","Australia and Oceania"
"Anguilla","anguilla","$7,900,000","2017 est.","219","Central America and the Caribbean"
"Saint Pierre and Miquelon","saint-pierre-and-miquelon","$6,641,000","2010 est.","220","North America"
"Montserrat","montserrat","$4,400,000","2017 est.","221","Central America and the Caribbean"
"Cook Islands","cook-islands","$3,125,000","2011 est.","222","Australia and Oceania"
"Niue","niue","$201,400","2004 est.","223","Australia and Oceania"
"Tokelau","tokelau","$103,000","2015 est.","224","Australia and Oceania"
"Wallis and Futuna","wallis-and-futuna","$47,450","2004 est.","225","Australia and Oceania"